epoch,train_loss,valid_loss,accuracy,f1_score,country_f1_score,time
0,4.789035797119141,4.380274772644043,0.17867329716682434,0.054872479289770126,0.07306502759456635,13:07
1,2.8672752380371094,2.7934470176696777,0.36509910225868225,0.2102600485086441,0.20705744624137878,12:28
2,2.2842350006103516,2.468867778778076,0.41936662793159485,0.2815375030040741,0.2757769525051117,12:23
3,2.042123794555664,2.556978225708008,0.4078841507434845,0.30164244771003723,0.2832012474536896,12:22
4,1.8352140188217163,2.525594472885132,0.4100782573223114,0.31312692165374756,0.2956545650959015,12:23
5,1.659483790397644,2.365220546722412,0.45110800862312317,0.35196393728256226,0.32107412815093994,12:23
6,1.451313853263855,2.451916456222534,0.4481094181537628,0.3589550256729126,0.3328832685947418,12:23
7,1.2098255157470703,2.5661256313323975,0.4304102957248688,0.34094369411468506,0.31958842277526855,12:23
8,0.9754336476325989,2.482722043991089,0.4598844349384308,0.37126970291137695,0.3369605541229248,12:22
9,0.7747395634651184,2.3879787921905518,0.48855409026145935,0.39432471990585327,0.373876690864563,12:23
10,0.6202067136764526,2.3699045181274414,0.5080084800720215,0.42995887994766235,0.3850170373916626,12:23
11,0.4866582155227661,2.5661699771881104,0.5004022717475891,0.4143390655517578,0.3744574189186096,12:23
12,0.3629467487335205,2.5264172554016113,0.5151758790016174,0.43236008286476135,0.39453595876693726,12:23
13,0.287874311208725,2.555537223815918,0.5156878232955933,0.4247412383556366,0.3885692059993744,12:23
14,0.228859543800354,2.545178174972534,0.5323630571365356,0.44913384318351746,0.4048343002796173,12:22
15,0.1776977926492691,2.5782458782196045,0.5316317081451416,0.44067510962486267,0.4045350253582001,12:23
16,0.1438702940940857,2.5678281784057617,0.538872241973877,0.45523419976234436,0.4066752791404724,12:23
17,0.10066091269254684,2.5838351249694824,0.544211208820343,0.4527736306190491,0.4093526601791382,12:23
18,0.07002834230661392,2.691281318664551,0.5515980124473572,0.4695524275302887,0.41268420219421387,12:23
19,0.05107121542096138,2.6507606506347656,0.5593505501747131,0.4696812927722931,0.43294399976730347,12:23
20,0.03296792507171631,2.7009828090667725,0.5637387633323669,0.4796968996524811,0.43916547298431396,12:24
21,0.020300881937146187,2.6814141273498535,0.5736122131347656,0.48861682415008545,0.4414786398410797,12:24
22,0.01332617737352848,2.725003242492676,0.5734659433364868,0.48609232902526855,0.4464866518974304,12:23
23,0.010531889274716377,2.6710727214813232,0.5855335593223572,0.49792543053627014,0.4544832408428192,12:25
24,0.007265361491590738,2.6996262073516846,0.5859723687171936,0.5009677410125732,0.4574733376502991,12:25
25,0.003840657649561763,2.675393581390381,0.5943831205368042,0.5087454915046692,0.46527382731437683,12:25
26,0.002392459660768509,2.7005221843719482,0.5924815535545349,0.5074089169502258,0.4685080051422119,12:26
27,0.0031524263322353363,2.6804184913635254,0.5959920883178711,0.5106468200683594,0.47328364849090576,12:26
28,0.002769612008705735,2.685441255569458,0.5979667901992798,0.5130693316459656,0.47014564275741577,12:25
29,0.002611353760585189,2.6840500831604004,0.5978936553001404,0.5137977004051208,0.4683074951171875,12:25
