epoch,train_loss,valid_loss,accuracy,f1_score,country_f1_score,time
0,3.9679763317108154,3.388252019882202,0.25590580701828003,0.11901501566171646,0.13317878544330597,27:31
1,3.4470887184143066,2.8848416805267334,0.33547869324684143,0.1969914734363556,0.2068021297454834,27:27
2,3.2377243041992188,2.683926820755005,0.37336355447769165,0.24245578050613403,0.23317307233810425,27:28
3,3.155190944671631,2.514737606048584,0.40020477771759033,0.2871277928352356,0.25913384556770325,27:26
4,2.916950225830078,2.4485576152801514,0.4271191358566284,0.3165111839771271,0.2851325273513794,27:23
5,2.8552188873291016,2.4810397624969482,0.4185621440410614,0.3142201006412506,0.2886497378349304,27:22
6,2.754603624343872,2.355792999267578,0.4372120201587677,0.3358287215232849,0.31176942586898804,27:24
7,2.7339837551116943,2.3019185066223145,0.45944562554359436,0.3571241796016693,0.33463728427886963,27:24
8,2.6893064975738525,2.298401355743408,0.4585679769515991,0.3467051386833191,0.33071598410606384,27:24
9,2.635669469833374,2.2662384510040283,0.4690265357494354,0.37598127126693726,0.3452182114124298,27:25
